X,Result
0,100000,-1,000000
0,200000,-0,700075
0,300000,-0,523716
0,400000,-0,398577
0,500000,-0,301512
0,600000,-0,222204
0,700000,-0,155150
0,800000,-0,097065
0,900000,-0,045831
1,000000,-0,000000
1,100000,0,041459
1,200000,0,079308
1,300000,0,114126
1,400000,0,146362
1,500000,0,176373
1,600000,0,204447
1,700000,0,230818
1,800000,0,255681
1,900000,0,279200
2,000000,0,301512
2,100000,0,322735
2,200000,0,342971
2,300000,0,362307
2,400000,0,380820
2,500000,0,398577
2,600000,0,415638
2,700000,0,432054
2,800000,0,447874
2,900000,0,463138
3,000000,0,477885
3,100000,0,492148
3,200000,0,505959
3,300000,0,519344
3,400000,0,532330
3,500000,0,544939
3,600000,0,557193
3,700000,0,569111
3,800000,0,580711
3,900000,0,592010
4,000000,0,603023
4,100000,0,613763
4,200000,0,624245
4,300000,0,634480
4,400000,0,644479
4,500000,0,654253
4,600000,0,663813
4,700000,0,673166
4,800000,0,682323
4,900000,0,691290
5,000000,0,700075
5,100000,0,708686
5,200000,0,717130
5,300000,0,725412
5,400000,0,733538
5,500000,0,741515
5,600000,0,749348
5,700000,0,757041
5,800000,0,764600
5,900000,0,772028
6,000000,0,779331
6,100000,0,786512
6,200000,0,793575
6,300000,0,800524
6,400000,0,807362
6,500000,0,814093
6,600000,0,820721
6,700000,0,827247
6,800000,0,833675
6,900000,0,840007
7,000000,0,846247
7,100000,0,852397
7,200000,0,858459
7,300000,0,864436
7,400000,0,870329
7,500000,0,876142
7,600000,0,881875
7,700000,0,887532
7,800000,0,893114
7,900000,0,898622
8,000000,0,904059
8,100000,0,909426
8,200000,0,914725
8,300000,0,919957
8,400000,0,925124
8,500000,0,930228
8,600000,0,935269
8,700000,0,940250
8,800000,0,945171
8,900000,0,950033
9,000000,0,954839
9,100000,0,959589
9,200000,0,964284
9,300000,0,968925
9,400000,0,973514
9,500000,0,978051
9,600000,0,982538
9,700000,0,986976
9,800000,0,991364
9,900000,0,995706
10,000000,1,000000
